Make,Model,Trany,Year,You Save/Spend
Alfa Romeo,Spider Veloce 2000,Manual 5-spd,1985,-3750
Ferrari,Testarossa,Manual 5-spd,1985,-18750
Dodge,B150/B250 Wagon 2WD,Automatic 3-spd,1985,-18750
Subaru,Legacy AWD Turbo,Manual 5-spd,1993,-8500
Subaru,Loyale,Automatic 3-spd,1993,-3000
Subaru,Loyale,Manual 5-spd,1993,-1000
Toyota,Corolla,Automatic 3-spd,1993,-1750
Toyota,Corolla,Manual 5-spd,1993,-500
Toyota,Corolla,Automatic 4-spd,1993,-1000
Toyota,Corolla,Manual 5-spd,1993,-500
Volkswagen,Golf III / GTI,Automatic 4-spd,1993,-3750
Volkswagen,Golf III / GTI,Manual 5-spd,1993,-1750
Volkswagen,Jetta III,Automatic 4-spd,1993,-3750
Dodge,B150/B250 Wagon 2WD,Automatic 3-spd,1985,-14000
Volkswagen,Jetta III,Manual 5-spd,1993,-2250
Volvo,240,Automatic 4-spd,1993,-4500
Volvo,240,Manual 5-spd,1993,-3750
Audi,100,Automatic 4-spd,1993,-8500
Audi,100,Manual 5-spd,1993,-8500
BMW,740i,Automatic 5-spd,1993,-12500
BMW,740il,Automatic 5-spd,1993,-12500
BMW,750il,Automatic 4-spd,1993,-14000
Buick,Century,Automatic 3-spd,1993,-2250
Chevrolet,Malibu Hybrid,Automatic 4-spd,2010,750
Pontiac,Firebird/Formula,Automatic 4-spd,1995,1500
Ford,Aerostar Van,Automatic 4-spd,1994,2000
Volvo,940 Wagon,Automatic 4-spd,1994,2250
GMC,T15 (S15) Jimmy 4WD,Manual 5-spd,1985,2250
Plymouth,Colt Vista,Automatic 4-spd,1994,2250
